question,answer
하나의 SIM 카드를 여러 대의 휴대전화에서 사용할 수 있나요?,베어모바일 Lite가 지원하는 휴대전화라면 SIM 카드를 교체하여 사용할 수 있습니다.
"PIN 코드를 잊어버린 경우, 어떻게 해야 하나요?",초기 설정 PIN 코드는 '7777'입니다. 초기 설정에서 변경한 경우에는 확인 방법이 없습니다. 잊어버린 경우에는 PIN 코드를 재설정해 주세요.
PIN 잠금 해제 방법을 알려주세요.,"잠금 화면에서 ""PUK 코드(PIN 잠금 해제 코드)""를 입력하면 해제할 수 있습니다. ""PUK 코드(PIN 잠금 해제 코드)""는 마이페이지에서 확인할 수 있습니다."
PUK 코드(PIN 잠금 해제 코드) 확인 방법을 알려주세요.,"PUK 코드(PIN 잠금 해제 코드)는 PIN 잠금이 걸렸을 때 사용하는 8자리 해제 번호이며, 마이페이지에서 확인할 수 있습니다."
SIM 배송 상황 확인 방법을 알려주세요.,상품은 택배로 배송됩니다. 택배 홈페이지에서 배송 상황을 확인할 수 있습니다.
"SIM카드와 eSIM 신청을 잘못했을 경우, 어떻게 하면 되나요?","신청을 취소한 후, 다시 올바르게 신청해 주세요. 계약이 완료되기 전의 취소는 당사 웹사이트에서 할 수 있습니다. 계약이 완료된 후의 취소는 ‘베어모바일Lite 신청 사무국’에서 대응합니다."
SIM카드의 크기(표준/micro/nano)를 변경하려면 어떻게 해야 하나요?,한번 잘라낸 SIM카드는 작은 크기에서 큰 크기로 변경할 수 없습니다. 그 경우에는 SIM카드 재발급(무료)이 필요합니다. 큰 크기에서 작은 크기로 변경하는 경우에는 고객님께서 직접 잘라서 사용할 수 있습니다.
SIM카드 교환이나 eSIM 재발급이 가능한가요?,SIM카드 교환이나 eSIM 재발급은 일부 조건에 따라 다른 절차가 필요합니다.
"SIM 프리, SIM 락 해제란 무엇을 의미하나요?","SIM 프리 휴대전화에는 두 가지 종류가 있으며, 하나는 이동통신사에서 구입한 후 SIM 락을 해제한 것이고, 다른 하나는 처음부터 SIM 프리 상태로 판매되는 것입니다. SIM 락이란 특정 이동통신사에서만 사용할 수 있는 상태를 의미합니다."
SIM 락을 해제하지 않은 상태에서 애플리케이션을 도중에 종료하면 어떻게 되나요? [베어모바일Lite SIM 간단 설정 앱],"애플리케이션을 도중에 종료해도 문제는 없습니다. SIM 락을 해제한 후, 다시 애플리케이션을 실행해 주세요. 마지막으로 작업했던 화면부터 다시 시작할 수 있습니다."
SIM 락 해제 절차를 알려주세요.,SIM 락 해제는 휴대전화를 구매한 원래의 회사에서 진행하는 절차입니다. 자세한 내용은 구매한 회사에 문의해 주세요.
SIM 락 해제(SIM 프리) 스마트폰을 가지고 있습니다. 베어모바일Lite에 가입할 수 있나요?,"네, SIM 락이 해제되어 있고 동작 확인이 완료된 휴대전화라면 베어모바일Lite에 가입하실 수 있습니다."
SMS?MMS?이메일을 사용할 수 있나요?,SMS는 이용하실 수 있습니다.
"eSIM 설정이 잘 되지 않는 경우, 어떻게 하면 되나요?",자주 묻는 질문 페이지 등에서 대처 방법을 확인하실 수 있습니다.
"eSIM 개통이 완료된 후, 애플리케이션을 삭제해도 괜찮나요?",애플리케이션 삭제는 문제 없습니다. 다시 사용하고 싶은 경우에는 Google Play™ 또는 App Store에서 재설치하실 수 있습니다.
"eSIM을 재발행한 후, 앱이 작동하지 않게 되었는데 어떻게 해야 하나요? [베어모바일Lite eSIM 간단 설정 앱]",이전에 사용한 이력이 남아 있을 가능성이 있습니다. 앱을 한 번 삭제하고 다시 다운로드해 보세요.
"eSIM을 재발행한 후, 앱에서 주문번호를 입력할 수 없게 되었는데 어떻게 하면 되나요? [베어모바일Lite eSIM 간단 설정 앱]",이전에 사용한 이력이 남아 있을 가능성이 있습니다. 앱을 한 번 삭제하고 다시 다운로드해 보세요.
eSIM 대응 단말기인데 “eSIM에 대응하지 않습니다”라고 표시됩니다. 어떻게 해야 하나요?,사용 중인 단말기가 대한민국 국내에서만 eSIM 미지원일 가능성이 있습니다. 대응 단말기 상세는 당사 웹사이트를 확인해 주세요.
iPhone/iPad나 스마트폰에서 통신 설정 방법을 알려주세요.,"베어모바일Lite를 사용하려면 Wi-Fi에 연결된 상태에서 iPhone/iPad의 경우 iOS 버전을 13.5 이상으로 업데이트하고, 캐리어 설정을 업데이트해 주세요. Android의 경우 설정 화면에서 지정된 값을 입력해야 합니다."
iPhone에서도 이용이 가능한가요?,"SIM 프리 또는 SIM 락 해제된 iPhone이라면 이용 가능합니다. 단, iPhone 16/16 Pro 이전 모델은 SIM 락 해제가 불가능하여 이용할 수 없습니다."
iPhone이나 iPad에서 인터넷이 연결되지 않을 경우의 대처 방법을 알려주세요.,"설정을 변경하거나, 단말기를 재시작하거나, SIM 카드를 다시 삽입하는 등의 방법으로 개선될 수 있습니다."
iPhone이나 iPad에서 통신 설정 방법을 알려주세요.,"베어모바일Lite를 iPhone이나 iPad에서 사용하기 위해서는 Wi-Fi 등에 연결된 상태에서 iOS 버전을 14.5 이상으로 업데이트하고, 캐리어 설정 업데이트를 수행해 주세요."
「PIN코드」란 무엇인가요?,"「PIN코드」는 “Personal Identification Number”의 약자로, SIM 카드(전화번호나 고객 정보 등의 데이터를 보유한 IC 카드)의 비밀번호를 말합니다."
「SIM이 무효입니다」 또는 「베어모바일Lite를 활성화할 수 없습니다」라고 표시됩니다. 어떻게 해야 하나요?,"사용 중인 단말기가 SIM 락 상태일 가능성이 있습니다. SIM 락을 해제한 후, 다시 베어모바일Lite의 초기 설정을 진행해 주세요."
「잘 모르겠습니다」를 탭하면 어떻게 SIM 락을 해제할 수 있나요? [베어모바일Lite eSIM 간단 설정 앱],"SIM 락 해제 가이드 페이지가 표시됩니다. 해당 페이지의 안내에 따라 SIM 락을 해제한 뒤, “SIM 락을 해제했습니다”에 체크하고 다음 페이지로 진행해 주세요."
「자동 충전」의 데이터 용량 추가 횟수 상한 설정 방법을 알려주세요.,"마이페이지에 로그인한 후, 「자동 충전 설정」의 「1개월 상한 횟수」에서 설정할 수 있습니다."
